;N° de factura;Fecha de factura;ID Cliente;País;Cantidad;Monto
53;C545502;3/3/2021 11:33:00;15078.0;United Kingdom;-10;-19.50
54;538010;12/9/2020 12:20:00;17526.0;United Kingdom;40;226.80
55;579089;11/28/2021 10:46:00;17920.0;United Kingdom;58;111.11
56;560713;7/20/2021 13:09:00;16774.0;United Kingdom;56;160.80
57;571098;10/13/2021 15:38:00;17841.0;United Kingdom;200;437.43
58;574994;11/8/2021 11:03:00;17870.0;United Kingdom;62;143.11
59;570257;10/10/2021 9:56:00;13767.0;United Kingdom;129;380.31
60;541669;1/20/2021 12:29:00;17315.0;United Kingdom;172;331.76
61;C560687;7/20/2021 11:51:00;14606.0;United Kingdom;-28;-23.37
62;C569891;10/6/2021 15:46:00;13924.0;United Kingdom;-19;-65.09
63;552404;5/9/2021 12:39:00;15932.0;United Kingdom;262;305.02
64;566035;9/8/2021 13:17:00;12839.0;United Kingdom;286;413.58
65;576911;11/17/2021 10:01:00;17461.0;United Kingdom;342;349.20
66;572272;10/21/2021 16:18:00;13171.0;United Kingdom;60;132.54
67;577783;11/21/2021 16:20:00;18139.0;United Kingdom;1644;2786.40
68;578757;11/25/2021 11:41:00;12748.0;United Kingdom;256;420.41
69;C553557;5/17/2021 17:03:00;13266.0;United Kingdom;-2;-3.20
70;542351;1/27/2021 12:13:00;14560.0;United Kingdom;39;152.25
71;558245;6/27/2021 16:28:00;;United Kingdom;8;0.00
72;C578090;11/22/2021 17:03:00;12483.0;Sweden;-2;-80.00
73;559164;7/6/2021 16:39:00;16422.0;United Kingdom;406;587.46
74;578150;11/23/2021 11:18:00;16020.0;United Kingdom;10;16.50
75;558770;7/3/2021 15:19:00;12748.0;United Kingdom;60;115.55
76;C569552;10/4/2021 17:44:00;14533.0;United Kingdom;-1200;-84.00
77;C550646;4/19/2021 16:32:00;16873.0;United Kingdom;-6;-14.40
78;C571329;10/17/2021 11:32:00;17706.0;United Kingdom;-13;-50.80
79;C544557;2/21/2021 12:31:00;17422.0;United Kingdom;-15;-55.35
80;C539277;12/16/2020 15:37:00;15777.0;United Kingdom;-3;-25.50
81;C577731;11/21/2021 13:06:00;17811.0;United Kingdom;-6;-11.70
82;580386;12/4/2021 10:29:00;18065.0;United Kingdom;50;188.90
83;C553866;5/19/2021 14:14:00;14620.0;United Kingdom;-26;-19.50
84;570252;10/10/2021 9:14:00;14665.0;United Kingdom;238;559.52
85;536782;12/2/2020 15:18:00;17567.0;United Kingdom;244;517.95
86;C544594;2/21/2021 16:58:00;15079.0;United Kingdom;-1;-1.95
87;571082;10/13/2021 15:25:00;;United Kingdom;479;1354.71
88;551984;5/5/2021 14:37:00;15841.0;United Kingdom;234;281.66
89;C554931;5/27/2021 13:21:00;17841.0;United Kingdom;-4;-5.00
90;564476;8/25/2021 12:57:00;12610.0;Italy;168;309.50
91;540353;1/6/2021 14:53:00;13764.0;United Kingdom;282;499.89
92;558706;7/1/2021 12:52:00;16839.0;United Kingdom;320;416.96
93;566278;9/11/2021 14:05:00;13614.0;United Kingdom;67;302.15
94;540477;1/7/2021 14:49:00;13233.0;United Kingdom;404;304.24
95;569695;10/5/2021 15:35:00;16843.0;United Kingdom;938;993.88
96;C556920;6/15/2021 13:49:00;13047.0;United Kingdom;-3;-13.85
97;C543469;2/8/2021 14:55:00;12709.0;Germany;-12;-83.98
98;538308;12/10/2020 13:29:00;14107.0;United Kingdom;268;363.24
99;549054;4/6/2021 10:21:00;17719.0;United Kingdom;109;312.19
100;555626;6/6/2021 11:55:00;16103.0;United Kingdom;92;270.80
101;C572343;10/24/2021 10:40:00;14607.0;United Kingdom;-2344;-2949.28
102;C558530;6/30/2021 11:26:00;15039.0;United Kingdom;-2;-17.00
103;563921;8/21/2021 14:00:00;16407.0;United Kingdom;2;15.90
104;563943;8/22/2021 10:04:00;13139.0;United Kingdom;268;540.92
105;575854;11/11/2021 12:20:00;14125.0;United Kingdom;486;1111.08
106;552764;5/11/2021 11:34:00;17489.0;United Kingdom;232;208.56
107;571407;10/17/2021 12:16:00;13750.0;United Kingdom;85;330.63
108;548208;3/29/2021 17:12:00;14189.0;United Kingdom;224;314.10
109;556922;6/15/2021 13:56:00;12748.0;United Kingdom;5;14.25
110;572076;10/20/2021 14:01:00;13761.0;United Kingdom;418;578.94
111;544189;2/16/2021 16:40:00;15867.0;United Kingdom;36;133.00
112;562543;8/5/2021 15:45:00;13552.0;United Kingdom;216;463.90
113;573136;10/27/2021 17:00:00;12709.0;Germany;110;268.68
114;558261;6/28/2021 8:39:00;16945.0;United Kingdom;24;10.08
115;581482;12/9/2021 9:08:00;17490.0;United Kingdom;228;488.40
116;579740;11/30/2021 14:30:00;;United Kingdom;13;32.07
117;559538;7/10/2021 12:25:00;16880.0;United Kingdom;135;269.49
118;548862;4/4/2021 13:47:00;17956.0;United Kingdom;1;12.75
119;565569;9/5/2021 12:21:00;14111.0;United Kingdom;18;48.30
120;556047;6/8/2021 12:57:00;12901.0;United Kingdom;90;276.24
121;548189;3/29/2021 15:15:00;16607.0;United Kingdom;163;141.41
122;557213;6/17/2021 12:16:00;15021.0;United Kingdom;119;218.14
123;549142;4/6/2021 15:26:00;;United Kingdom;-24;0.00
124;571310;10/17/2021 10:17:00;13394.0;United Kingdom;463;371.73
125;542254;1/26/2021 16:41:00;14733.0;United Kingdom;133;511.69
126;576674;11/16/2021 12:00:00;;United Kingdom;-6;0.00
127;C553841;5/19/2021 12:19:00;16029.0;United Kingdom;-48;-9.60
128;548546;3/31/2021 19:20:00;16600.0;United Kingdom;186;111.60
129;558563;6/30/2021 13:43:00;14561.0;United Kingdom;192;344.92
130;543385;2/7/2021 16:24:00;;United Kingdom;1;7.95
131;546034;3/9/2021 9:44:00;14032.0;United Kingdom;291;309.64
132;557602;6/21/2021 11:57:00;14110.0;United Kingdom;156;379.72
133;544596;2/21/2021 17:35:00;16441.0;United Kingdom;110;211.00
134;553006;5/12/2021 16:45:00;15544.0;United Kingdom;393;560.35
135;542634;1/31/2021 10:42:00;15448.0;United Kingdom;232;494.64
136;540536;1/9/2021 14:21:00;17757.0;United Kingdom;93;145.50
137;536568;12/1/2020 15:28:00;16048.0;United Kingdom;12;5.04
138;545686;3/6/2021 12:09:00;18211.0;United Kingdom;56;137.90
139;553861;5/19/2021 13:58:00;13591.0;United Kingdom;135;314.03
140;C551015;4/26/2021 11:06:00;12753.0;Japan;-33;-85.47
141;567370;9/20/2021 9:13:00;14236.0;United Kingdom;272;301.56
142;560034;7/14/2021 13:35:00;13933.0;United Kingdom;113;300.99
143;547419;3/23/2021 10:27:00;15061.0;United Kingdom;1135;1649.58
144;C565681;9/6/2021 10:42:00;15521.0;United Kingdom;-92;-192.40
145;565081;9/1/2021 9:03:00;;United Kingdom;1;0.00
146;565680;9/6/2021 10:27:00;14560.0;United Kingdom;240;100.80
147;561244;7/26/2021 11:24:00;13865.0;United Kingdom;54;100.82
148;C576831;11/16/2021 14:56:00;12748.0;United Kingdom;-1082;-1301.00
149;542155;1/26/2021 10:51:00;15777.0;United Kingdom;112;285.60
150;572023;10/20/2021 11:03:00;17764.0;United Kingdom;247;556.85
151;577749;11/21/2021 14:26:00;16242.0;United Kingdom;299;534.20
152;C537383;12/6/2020 13:17:00;16550.0;United Kingdom;-3;-9.05
153;550901;4/21/2021 12:12:00;13389.0;United Kingdom;115;257.89
154;555546;6/5/2021 13:09:00;17735.0;United Kingdom;118;228.30
155;561900;7/31/2021 15:31:00;16655.0;United Kingdom;523;638.19
156;547963;3/28/2021 15:42:00;13037.0;United Kingdom;158;250.42
157;575968;11/13/2021 12:47:00;14882.0;United Kingdom;92;341.80
158;571745;10/19/2021 10:48:00;14911.0;EIRE;711;1588.75
159;539986;12/23/2020 15:21:00;;United Kingdom;7;15.25
160;543115;2/3/2021 13:27:00;14606.0;United Kingdom;72;120.75
161;552947;5/12/2021 11:57:00;16943.0;United Kingdom;20;172.10
162;550002;4/14/2021 9:30:00;12709.0;Germany;41;68.00
163;551320;4/27/2021 15:25:00;;United Kingdom;60;0.00
164;569539;10/4/2021 15:58:00;18102.0;United Kingdom;112;557.76
165;569863;10/6/2021 14:44:00;;United Kingdom;1;9.95
166;545812;3/7/2021 12:26:00;14214.0;United Kingdom;313;638.65
167;569740;10/6/2021 10:52:00;15769.0;United Kingdom;1600;2924.00
168;564648;8/26/2021 14:04:00;15641.0;United Kingdom;466;581.82
169;573751;11/1/2021 9:33:00;;United Kingdom;10;0.00
170;551859;5/4/2021 15:37:00;14336.0;United Kingdom;301;230.03
171;538070;12/9/2020 14:08:00;16519.0;United Kingdom;24;103.70
172;576848;11/16/2021 15:38:00;15051.0;United Kingdom;124;245.68
173;546442;3/14/2021 10:38:00;15159.0;United Kingdom;54;207.30
174;560422;7/18/2021 15:14:00;16746.0;United Kingdom;162;300.18
175;541967;1/24/2021 13:35:00;;United Kingdom;-3;0.00
176;C546894;3/17/2021 18:21:00;14334.0;United Kingdom;-1;-12.75
177;559948;7/14/2021 10:41:00;12653.0;Israel;633;1430.75
178;539688;12/21/2020 11:00:00;12678.0;France;1;150.00
179;548916;4/5/2021 10:07:00;14849.0;United Kingdom;377;422.34
180;576767;11/16/2021 13:12:00;;United Kingdom;-60;0.00
181;565851;9/7/2021 13:06:00;14911.0;EIRE;332;637.29
182;538909;12/15/2020 10:48:00;13491.0;United Kingdom;18;97.50
183;553475;5/17/2021 11:31:00;18102.0;United Kingdom;306;866.40
184;536523;12/1/2020 12:50:00;12868.0;United Kingdom;112;203.30
185;547571;3/24/2021 9:52:00;16265.0;United Kingdom;182;432.30
186;557871;6/23/2021 12:41:00;13458.0;United Kingdom;130;300.78
187;C565290;9/2/2021 11:46:00;16092.0;United Kingdom;-24;-30.00
188;553017;5/12/2021 19:01:00;12757.0;Portugal;311;602.83
189;549471;4/8/2021 14:39:00;17389.0;United Kingdom;72;73.50
190;573924;11/2/2021 9:45:00;15065.0;United Kingdom;202;299.38
191;C554011;5/20/2021 12:55:00;13151.0;United Kingdom;-2;-7.50
192;576641;11/16/2021 9:59:00;17549.0;United Kingdom;150;120.66
193;574746;11/7/2021 8:30:00;16523.0;United Kingdom;198;676.80
194;546019;3/8/2021 17:25:00;14507.0;United Kingdom;50;39.49
195;556809;6/14/2021 16:48:00;17179.0;United Kingdom;82;223.48
196;567768;9/22/2021 11:17:00;15950.0;United Kingdom;123;255.84
197;574661;11/6/2021 11:56:00;13447.0;United Kingdom;166;430.30
198;C575940;11/13/2021 11:38:00;17838.0;United Kingdom;-458;-466.60
199;549838;4/12/2021 13:39:00;16705.0;United Kingdom;48;96.00
200;547519;3/23/2021 14:46:00;16308.0;United Kingdom;1000;320.00
201;C554140;5/23/2021 10:34:00;13004.0;United Kingdom;-4;-15.80
202;C558736;7/1/2021 15:14:00;18075.0;United Kingdom;-4;-18.28
203;577080;11/17/2021 15:24:00;17001.0;United Kingdom;172;357.60
204;560048;7/14/2021 15:02:00;13515.0;United Kingdom;127;132.16
205;C566963;9/15/2021 17:09:00;17573.0;United Kingdom;-6;-17.70
206;568709;9/28/2021 15:42:00;15036.0;United Kingdom;176;219.86
207;539651;12/20/2020 16:19:00;;United Kingdom;26;32.50
208;578171;11/23/2021 11:36:00;17685.0;United Kingdom;207;392.40
209;576400;11/15/2021 10:51:00;13632.0;United Kingdom;288;452.14
210;557640;6/21/2021 16:24:00;;United Kingdom;364;1760.85
211;543013;2/2/2021 13:35:00;;United Kingdom;310;1340.77
212;542083;1/25/2021 12:26:00;18008.0;United Kingdom;355;130.81
213;579759;11/30/2021 15:02:00;15251.0;United Kingdom;244;363.88
214;552215;5/6/2021 15:12:00;;United Kingdom;-41;0.00
215;537628;12/7/2020 15:02:00;16293.0;United Kingdom;189;378.75
216;542096;1/25/2021 12:52:00;17236.0;United Kingdom;141;199.33
217;549149;4/6/2021 15:31:00;;United Kingdom;-43;0.00
218;C541284;1/17/2021 12:45:00;17744.0;United Kingdom;-36;-31.32
219;576909;11/17/2021 9:49:00;12471.0;Germany;519;1072.12
220;560105;7/14/2021 19:23:00;16794.0;United Kingdom;263;222.13
221;541709;1/21/2021 11:09:00;17504.0;United Kingdom;233;441.15
222;578272;11/23/2021 13:40:00;17463.0;United Kingdom;126;198.31
223;555363;6/2/2021 14:15:00;14453.0;United Kingdom;49;119.93
224;566033;9/8/2021 13:07:00;16031.0;United Kingdom;204;243.31
225;571545;10/17/2021 16:59:00;;United Kingdom;11;13.65
226;562155;8/3/2021 11:24:00;17940.0;United Kingdom;648;162.00
227;C575142;11/8/2021 15:36:00;17183.0;United Kingdom;-30;-37.50
228;561047;7/24/2021 12:46:00;16948.0;United Kingdom;1368;194.48
229;C544442;2/20/2021 10:30:00;15465.0;United Kingdom;-3;-32.85
230;568527;9/27/2021 13:21:00;13178.0;United Kingdom;539;765.00
231;563382;8/16/2021 10:50:00;18221.0;United Kingdom;145;169.85
232;C560220;7/15/2021 15:22:00;14572.0;United Kingdom;-1;-12.75
233;C548647;4/1/2021 13:17:00;12888.0;United Kingdom;-3;-29.85
234;549196;4/7/2021 10:33:00;14911.0;EIRE;271;356.23
235;577599;11/21/2021 8:26:00;15738.0;United Kingdom;202;316.90
236;569567;10/5/2021 9:56:00;16059.0;United Kingdom;40;105.30
237;576347;11/14/2021 15:38:00;13268.0;United Kingdom;2;8.20
238;544569;2/21/2021 12:58:00;16980.0;United Kingdom;418;732.36
239;542865;2/1/2021 12:08:00;12929.0;United Kingdom;37;117.85
240;562789;8/9/2021 13:50:00;14646.0;Netherlands;7807;12341.21
241;567798;9/22/2021 12:00:00;13089.0;United Kingdom;331;886.63
242;C539838;12/22/2020 13:59:00;13458.0;United Kingdom;-10;-16.50
243;565577;9/5/2021 12:24:00;14177.0;United Kingdom;2;7.50
244;550915;4/21/2021 13:30:00;13263.0;United Kingdom;69;133.59
245;541293;1/17/2021 13:39:00;15311.0;United Kingdom;145;394.57
246;578688;11/25/2021 9:27:00;16719.0;United Kingdom;235;292.67
247;560896;7/21/2021 17:26:00;15623.0;United Kingdom;125;301.03
248;561711;7/29/2021 11:45:00;13414.0;United Kingdom;368;532.80
249;C575385;11/9/2021 15:19:00;15916.0;United Kingdom;-3;-18.55
250;C571023;10/13/2021 12:18:00;15239.0;United Kingdom;-3;-16.25
251;575701;11/10/2021 16:59:00;13396.0;United Kingdom;461;973.72
252;547886;3/28/2021 9:21:00;13652.0;United Kingdom;178;329.44
253;562467;8/5/2021 11:50:00;13513.0;United Kingdom;109;205.10
254;563927;8/21/2021 15:01:00;14013.0;United Kingdom;258;199.22
255;C565229;9/2/2021 9:12:00;17450.0;United Kingdom;-1;-200.00
256;581471;12/8/2021 19:29:00;14702.0;United Kingdom;76;199.29
257;573230;10/28/2021 11:55:00;13199.0;United Kingdom;48;85.92
258;568656;9/28/2021 12:21:00;14911.0;EIRE;70;141.62
259;554502;5/24/2021 14:47:00;14289.0;United Kingdom;26;124.68
260;581017;12/7/2021 10:06:00;14910.0;United Kingdom;80;110.80
261;C540118;1/5/2021 9:57:00;;United Kingdom;-1;-16453.71
262;540116;1/5/2021 9:54:00;;United Kingdom;2;10.13
263;546428;3/13/2021 14:55:00;12681.0;France;185;343.29
264;571090;10/13/2021 15:28:00;15271.0;United Kingdom;34;79.50
265;540856;1/12/2021 10:16:00;16655.0;United Kingdom;373;812.25
266;568242;9/26/2021 12:11:00;14931.0;Channel Islands;181;261.65
267;557599;6/21/2021 11:34:00;;United Kingdom;-1440;0.00
268;550713;4/20/2021 11:11:00;15159.0;United Kingdom;1;12.50
269;542100;1/25/2021 13:15:00;15339.0;United Kingdom;159;257.90
270;549833;4/12/2021 13:19:00;13458.0;United Kingdom;666;1015.14
271;571918;10/19/2021 16:05:00;17350.0;United Kingdom;240;156.24
272;566983;9/16/2021 10:16:00;;United Kingdom;1;0.00
273;537432;12/6/2020 16:10:00;;United Kingdom;-43;0.00
274;537759;12/8/2020 11:42:00;13126.0;United Kingdom;108;203.64
275;554128;5/23/2021 9:26:00;;United Kingdom;-4;0.00
276;555940;6/8/2021 10:10:00;14191.0;United Kingdom;98;357.60
277;C574318;11/3/2021 19:11:00;16729.0;United Kingdom;-7;-20.20
278;560834;7/21/2021 12:15:00;16523.0;United Kingdom;204;484.40
279;554366;5/24/2021 10:24:00;17450.0;United Kingdom;3084;9468.48
280;566520;9/13/2021 11:26:00;17757.0;United Kingdom;61;161.19
281;537471;12/7/2020 10:51:00;14344.0;United Kingdom;3;17.85
282;562034;8/2/2021 9:14:00;12449.0;Belgium;267;777.95
283;C562709;8/8/2021 14:32:00;17511.0;United Kingdom;-11;-29.49
284;572516;10/24/2021 14:45:00;;United Kingdom;-71;0.00
285;561108;7/25/2021 11:43:00;;United Kingdom;-7;0.00
286;568332;9/26/2021 14:30:00;13434.0;United Kingdom;240;461.40
287;556823;6/15/2021 10:24:00;;United Kingdom;8;77.72
288;C574010;11/2/2021 11:51:00;17841.0;United Kingdom;-3;-10.35
289;537456;12/7/2020 9:43:00;17450.0;United Kingdom;780;1989.24
290;569693;10/5/2021 15:18:00;17837.0;United Kingdom;105;250.95
291;573131;10/27/2021 16:44:00;15622.0;United Kingdom;106;381.95
292;540099;1/4/2021 16:41:00;15808.0;United Kingdom;322;733.92
293;546220;3/10/2021 12:16:00;16745.0;United Kingdom;584;541.10
294;C578039;11/22/2021 14:13:00;17338.0;United Kingdom;-1;-10.95
295;560252;7/17/2021 12:35:00;13468.0;United Kingdom;61;115.87
296;569653;10/5/2021 12:52:00;12451.0;Switzerland;1650;2539.56
297;553545;5/17/2021 15:37:00;;United Kingdom;68;430.14
298;575475;11/9/2021 16:03:00;17702.0;United Kingdom;302;485.60
299;575703;11/10/2021 16:59:00;13767.0;United Kingdom;902;1735.30
300;556279;6/9/2021 19:55:00;14562.0;United Kingdom;59;215.39
301;578951;11/27/2021 14:40:00;15514.0;United Kingdom;277;499.23
302;578947;11/27/2021 13:49:00;14547.0;United Kingdom;438;534.58
303;570129;10/7/2021 13:34:00;12885.0;United Kingdom;293;519.47
304;566607;9/13/2021 16:40:00;13032.0;United Kingdom;175;496.30
305;580887;12/6/2021 12:26:00;13755.0;United Kingdom;80;156.90
306;C561682;7/28/2021 19:27:00;13631.0;United Kingdom;-7;-48.65
307;552523;5/9/2021 16:38:00;15797.0;United Kingdom;200;330.00
308;541263;1/16/2021 16:10:00;16843.0;United Kingdom;534;759.06
309;542796;2/1/2021 11:07:00;17356.0;United Kingdom;166;178.22
310;566776;9/15/2021 9:53:00;14911.0;EIRE;226;368.37
311;544170;2/16/2021 14:01:00;16148.0;United Kingdom;72;76.32
312;539469;12/19/2020 13:59:00;17841.0;United Kingdom;152;283.52
313;549670;4/11/2021 12:45:00;16168.0;United Kingdom;88;141.20
314;573902;11/1/2021 14:51:00;17428.0;United Kingdom;48;311.18
315;544826;2/24/2021 9:36:00;14513.0;United Kingdom;7;18.75
316;541086;1/13/2021 12:32:00;16503.0;United Kingdom;118;353.70
317;543824;2/14/2021 9:31:00;14631.0;United Kingdom;160;309.50
318;552464;5/9/2021 15:12:00;12726.0;France;333;223.40
319;C567359;9/19/2021 16:33:00;15201.0;United Kingdom;-14;-8.59
320;551515;5/1/2021 10:51:00;15606.0;United Kingdom;104;320.88
321;540160;1/5/2021 11:50:00;15769.0;United Kingdom;1032;2574.48
322;565631;9/5/2021 15:49:00;14680.0;United Kingdom;568;1226.16
323;580281;12/2/2021 13:15:00;12704.0;Finland;81;198.76
324;559157;7/6/2021 15:53:00;13999.0;United Kingdom;167;307.03
325;566257;9/11/2021 12:34:00;13324.0;United Kingdom;680;855.60
326;568724;9/28/2021 16:27:00;;United Kingdom;-21;0.00
327;554286;5/23/2021 14:16:00;17686.0;United Kingdom;97;386.96
328;546741;3/16/2021 12:22:00;13261.0;United Kingdom;20;99.00
329;546029;3/9/2021 8:59:00;15206.0;United Kingdom;6;17.70
330;543278;2/6/2021 14:43:00;16745.0;United Kingdom;406;203.82
331;540630;1/10/2021 11:59:00;17849.0;United Kingdom;19;217.75
332;559817;7/12/2021 16:20:00;;United Kingdom;652;1839.58
333;547563;3/24/2021 8:56:00;15651.0;United Kingdom;238;227.32
334;554105;5/22/2021 14:04:00;14711.0;United Kingdom;111;213.06
335;539442;12/17/2020 15:39:00;16558.0;United Kingdom;127;311.15
336;563952;8/22/2021 10:44:00;15572.0;United Kingdom;267;679.25
337;545162;2/28/2021 13:35:00;16187.0;United Kingdom;247;480.90
338;564966;8/31/2021 15:08:00;17677.0;United Kingdom;24;34.80
339;578354;11/24/2021 10:12:00;17139.0;United Kingdom;232;468.52
340;C555729;6/6/2021 16:50:00;13552.0;United Kingdom;-14;-129.29
341;550986;4/21/2021 18:06:00;;United Kingdom;378;1654.97
342;572926;10/27/2021 9:23:00;15659.0;United Kingdom;111;306.45
343;570292;10/10/2021 11:59:00;13418.0;United Kingdom;124;370.68
344;550972;4/21/2021 17:05:00;14031.0;United Kingdom;46;99.63
345;541850;1/23/2021 13:58:00;14224.0;United Kingdom;99;244.30
346;573124;10/27/2021 16:24:00;13654.0;United Kingdom;24;99.60
347;C565597;9/5/2021 14:29:00;12709.0;Germany;-5;-19.03
348;571080;10/13/2021 15:19:00;13719.0;United Kingdom;77;250.49
349;565420;9/4/2021 12:09:00;16326.0;United Kingdom;85;313.05
350;554633;5/25/2021 11:44:00;14287.0;United Kingdom;144;17.28
351;543464;2/8/2021 14:15:00;16779.0;United Kingdom;308;364.32
352;C540852;1/12/2021 9:48:00;15197.0;United Kingdom;-12;-419.40
353;553655;5/18/2021 11:14:00;16775.0;United Kingdom;31;114.70
354;553559;5/17/2021 17:12:00;14931.0;Channel Islands;1;293.00
355;551391;4/28/2021 12:06:00;15514.0;United Kingdom;152;385.20
356;559491;7/8/2021 13:53:00;;United Kingdom;119;646.04
357;544391;2/18/2021 11:53:00;15755.0;United Kingdom;198;314.68
358;C538692;12/14/2020 9:58:00;13599.0;United Kingdom;-2;-7.24
359;C542402;1/27/2021 16:05:00;16124.0;United Kingdom;-7;-61.85
360;542505;1/28/2021 12:04:00;;United Kingdom;2560;0.00
361;575039;11/8/2021 11:53:00;15005.0;United Kingdom;245;327.22
362;544098;2/16/2021 10:04:00;16019.0;United Kingdom;396;1129.35
363;C566472;9/12/2021 18:19:00;16187.0;United Kingdom;-8;-39.60
364;548997;4/5/2021 14:33:00;;United Kingdom;20;0.00
365;C562577;8/7/2021 13:09:00;15518.0;United Kingdom;-1;-1.65
366;C557879;6/23/2021 13:15:00;14911.0;EIRE;-1;-4.25
367;579495;11/29/2021 15:34:00;13576.0;United Kingdom;180;327.48
368;565852;9/7/2021 13:11:00;;United Kingdom;7;14.10
369;569550;10/4/2021 17:32:00;15955.0;United Kingdom;10;8.50
370;556827;6/15/2021 10:29:00;15134.0;United Kingdom;101;171.63
371;541278;1/17/2021 11:53:00;14135.0;United Kingdom;52;167.40
372;553192;5/15/2021 13:27:00;15333.0;United Kingdom;344;1028.56
373;549502;4/8/2021 15:07:00;;United Kingdom;1;0.00
374;548739;4/4/2021 11:28:00;15493.0;United Kingdom;106;412.49
375;562949;8/11/2021 9:47:00;14346.0;United Kingdom;501;759.14
376;542806;2/1/2021 11:20:00;12836.0;United Kingdom;254;798.99
377;573757;11/1/2021 9:46:00;17166.0;United Kingdom;21;78.75
378;542925;2/2/2021 9:39:00;14457.0;United Kingdom;88;113.64
379;545158;2/28/2021 13:28:00;15874.0;United Kingdom;52;584.35
380;549826;4/12/2021 12:53:00;15044.0;United Kingdom;114;440.50
381;573830;11/1/2021 11:35:00;16960.0;United Kingdom;76;148.96
382;548196;3/29/2021 15:44:00;16011.0;United Kingdom;63;118.55
383;575331;11/9/2021 13:52:00;13209.0;United Kingdom;593;1049.66
384;566491;9/13/2021 10:25:00;14060.0;United Kingdom;216;294.24
385;556514;6/13/2021 10:45:00;;United Kingdom;2;23.25
386;572670;10/25/2021 13:14:00;13685.0;United Kingdom;1524;594.36
